model,file_number,true_label,pred_label,is_correct,raw_response,error,prompt_tokens,completion_tokens,total_tokens
google/gemma-4-31b-it,3676,4,2,0,"2,0,1,4,2,1,9,6,1,4",,3094,20,3114
google/gemma-4-31b-it,6522,0,0,1,"2,0,1,4,2,1,9,6,1,4",,3094,20,3114
google/gemma-4-31b-it,2223,1,1,1,"2,0,1,4,2,1,9,6,1,4",,3094,20,3114
google/gemma-4-31b-it,687,4,4,1,"2,0,1,4,2,1,9,6,1,4",,3094,20,3114
google/gemma-4-31b-it,8777,2,2,1,"2,0,1,4,2,1,9,6,1,4",,3094,20,3114
google/gemma-4-31b-it,9273,1,1,1,"2,0,1,4,2,1,9,6,1,4",,3094,20,3114
google/gemma-4-31b-it,8203,9,9,1,"2,0,1,4,2,1,9,6,1,4",,3094,20,3114
google/gemma-4-31b-it,4418,2,6,0,"2,0,1,4,2,1,9,6,1,4",,3094,20,3114
google/gemma-4-31b-it,6385,1,1,1,"2,0,1,4,2,1,9,6,1,4",,3094,20,3114
google/gemma-4-31b-it,4523,4,4,1,"2,0,1,4,2,1,9,6,1,4",,3094,20,3114
google/gemma-4-31b-it,4953,6,6,1,"6,8,0,6,1,7,0,6,5,4",,3094,20,3114
google/gemma-4-31b-it,4607,8,8,1,"6,8,0,6,1,7,0,6,5,4",,3094,20,3114
google/gemma-4-31b-it,959,0,0,1,"6,8,0,6,1,7,0,6,5,4",,3094,20,3114
google/gemma-4-31b-it,2196,6,6,1,"6,8,0,6,1,7,0,6,5,4",,3094,20,3114
google/gemma-4-31b-it,2326,1,1,1,"6,8,0,6,1,7,0,6,5,4",,3094,20,3114
google/gemma-4-31b-it,1524,7,7,1,"6,8,0,6,1,7,0,6,5,4",,3094,20,3114
google/gemma-4-31b-it,589,0,0,1,"6,8,0,6,1,7,0,6,5,4",,3094,20,3114
google/gemma-4-31b-it,1556,6,6,1,"6,8,0,6,1,7,0,6,5,4",,3094,20,3114
google/gemma-4-31b-it,9738,5,5,1,"6,8,0,6,1,7,0,6,5,4",,3094,20,3114
google/gemma-4-31b-it,963,4,4,1,"6,8,0,6,1,7,0,6,5,4",,3094,20,3114
google/gemma-4-31b-it,429,3,3,1,"3,9,6,6,0,5,8,3,3,2",,3094,20,3114
google/gemma-4-31b-it,4064,9,9,1,"3,9,6,6,0,5,8,3,3,2",,3094,20,3114
google/gemma-4-31b-it,4304,6,6,1,"3,9,6,6,0,5,8,3,3,2",,3094,20,3114
google/gemma-4-31b-it,5913,6,6,1,"3,9,6,6,0,5,8,3,3,2",,3094,20,3114
google/gemma-4-31b-it,8087,5,0,0,"3,9,6,6,0,5,8,3,3,2",,3094,20,3114
google/gemma-4-31b-it,2492,5,5,1,"3,9,6,6,0,5,8,3,3,2",,3094,20,3114
google/gemma-4-31b-it,5639,8,8,1,"3,9,6,6,0,5,8,3,3,2",,3094,20,3114
google/gemma-4-31b-it,5138,3,3,1,"3,9,6,6,0,5,8,3,3,2",,3094,20,3114
google/gemma-4-31b-it,5931,3,3,1,"3,9,6,6,0,5,8,3,3,2",,3094,20,3114
google/gemma-4-31b-it,2797,3,2,0,"3,9,6,6,0,5,8,3,3,2",,3094,20,3114
google/gemma-4-31b-it,8411,9,9,1,"9,9,0,8,7,4,3,1,1,6",,3094,20,3114
google/gemma-4-31b-it,4926,9,9,1,"9,9,0,8,7,4,3,1,1,6",,3094,20,3114
google/gemma-4-31b-it,146,0,0,1,"9,9,0,8,7,4,3,1,1,6",,3094,20,3114
google/gemma-4-31b-it,1414,8,8,1,"9,9,0,8,7,4,3,1,1,6",,3094,20,3114
google/gemma-4-31b-it,4104,7,7,1,"9,9,0,8,7,4,3,1,1,6",,3094,20,3114
google/gemma-4-31b-it,9876,4,4,1,"9,9,0,8,7,4,3,1,1,6",,3094,20,3114
google/gemma-4-31b-it,1295,3,3,1,"9,9,0,8,7,4,3,1,1,6",,3094,20,3114
google/gemma-4-31b-it,586,1,1,1,"9,9,0,8,7,4,3,1,1,6",,3094,20,3114
google/gemma-4-31b-it,6169,1,1,1,"9,9,0,8,7,4,3,1,1,6",,3094,20,3114
google/gemma-4-31b-it,6355,6,6,1,"9,9,0,8,7,4,3,1,1,6",,3094,20,3114
google/gemma-4-31b-it,7842,6,6,1,"6,7,8,8,1,0,2,1,7,8",,3094,20,3114
google/gemma-4-31b-it,2429,7,7,1,"6,7,8,8,1,0,2,1,7,8",,3094,20,3114
google/gemma-4-31b-it,3306,8,8,1,"6,7,8,8,1,0,2,1,7,8",,3094,20,3114
google/gemma-4-31b-it,9974,8,8,1,"6,7,8,8,1,0,2,1,7,8",,3094,20,3114
google/gemma-4-31b-it,168,1,1,1,"6,7,8,8,1,0,2,1,7,8",,3094,20,3114
google/gemma-4-31b-it,7768,0,0,1,"6,7,8,8,1,0,2,1,7,8",,3094,20,3114
google/gemma-4-31b-it,908,2,2,1,"6,7,8,8,1,0,2,1,7,8",,3094,20,3114
google/gemma-4-31b-it,6709,1,1,1,"6,7,8,8,1,0,2,1,7,8",,3094,20,3114
google/gemma-4-31b-it,9099,7,7,1,"6,7,8,8,1,0,2,1,7,8",,3094,20,3114
google/gemma-4-31b-it,1867,8,8,1,"6,7,8,8,1,0,2,1,7,8",,3094,20,3114
google/gemma-4-31b-it,3749,2,2,1,"2,5,2,0,5,1,6,6,5,5",,3094,20,3114
google/gemma-4-31b-it,8100,5,5,1,"2,5,2,0,5,1,6,6,5,5",,3094,20,3114
google/gemma-4-31b-it,5842,2,2,1,"2,5,2,0,5,1,6,6,5,5",,3094,20,3114
google/gemma-4-31b-it,4996,0,0,1,"2,5,2,0,5,1,6,6,5,5",,3094,20,3114
google/gemma-4-31b-it,5978,5,5,1,"2,5,2,0,5,1,6,6,5,5",,3094,20,3114
google/gemma-4-31b-it,6171,1,1,1,"2,5,2,0,5,1,6,6,5,5",,3094,20,3114
google/gemma-4-31b-it,1207,6,6,1,"2,5,2,0,5,1,6,6,5,5",,3094,20,3114
google/gemma-4-31b-it,2182,6,6,1,"2,5,2,0,5,1,6,6,5,5",,3094,20,3114
google/gemma-4-31b-it,2494,5,5,1,"2,5,2,0,5,1,6,6,5,5",,3094,20,3114
google/gemma-4-31b-it,638,5,5,1,"2,5,2,0,5,1,6,6,5,5",,3094,20,3114
google/gemma-4-31b-it,3464,0,0,1,"0,1,2,9,0,5,5,6,9,6",,3094,20,3114
google/gemma-4-31b-it,7867,1,1,1,"0,1,2,9,0,5,5,6,9,6",,3094,20,3114
google/gemma-4-31b-it,3348,2,2,1,"0,1,2,9,0,5,5,6,9,6",,3094,20,3114
google/gemma-4-31b-it,7684,9,9,1,"0,1,2,9,0,5,5,6,9,6",,3094,20,3114
google/gemma-4-31b-it,4457,2,0,0,"0,1,2,9,0,5,5,6,9,6",,3094,20,3114
google/gemma-4-31b-it,6878,5,5,1,"0,1,2,9,0,5,5,6,9,6",,3094,20,3114
google/gemma-4-31b-it,1881,5,5,1,"0,1,2,9,0,5,5,6,9,6",,3094,20,3114
google/gemma-4-31b-it,3143,6,6,1,"0,1,2,9,0,5,5,6,9,6",,3094,20,3114
google/gemma-4-31b-it,8048,9,9,1,"0,1,2,9,0,5,5,6,9,6",,3094,20,3114
google/gemma-4-31b-it,5039,6,6,1,"0,1,2,9,0,5,5,6,9,6",,3094,20,3114
google/gemma-4-31b-it,4904,0,0,1,"0,4,9,6,1,1,2,6,2,9",,3094,20,3114
google/gemma-4-31b-it,7379,4,4,1,"0,4,9,6,1,1,2,6,2,9",,3094,20,3114
google/gemma-4-31b-it,7469,9,9,1,"0,4,9,6,1,1,2,6,2,9",,3094,20,3114
google/gemma-4-31b-it,2439,6,6,1,"0,4,9,6,1,1,2,6,2,9",,3094,20,3114
google/gemma-4-31b-it,2461,1,1,1,"0,4,9,6,1,1,2,6,2,9",,3094,20,3114
google/gemma-4-31b-it,3994,1,1,1,"0,4,9,6,1,1,2,6,2,9",,3094,20,3114
google/gemma-4-31b-it,4712,2,2,1,"0,4,9,6,1,1,2,6,2,9",,3094,20,3114
google/gemma-4-31b-it,5395,6,6,1,"0,4,9,6,1,1,2,6,2,9",,3094,20,3114
google/gemma-4-31b-it,8549,3,2,0,"0,4,9,6,1,1,2,6,2,9",,3094,20,3114
