model,file_number,true_label,pred_label,is_correct,raw_response,error,prompt_tokens,completion_tokens,total_tokens
google/gemini-2.5-flash,4685,5,6,0,6,,458,1,459
google/gemini-2.5-flash,2252,0,0,1,0,,458,1,459
google/gemini-2.5-flash,7435,6,7,0,7,,458,1,459
google/gemini-2.5-flash,7589,3,4,0,4,,458,1,459
google/gemini-2.5-flash,4488,3,4,0,4,,458,1,459
google/gemini-2.5-flash,6847,8,7,0,7,,458,1,459
google/gemini-2.5-flash,4332,1,1,1,1,,458,1,459
google/gemini-2.5-flash,6228,1,1,1,1,,458,1,459
google/gemini-2.5-flash,4750,4,5,0,5,,458,1,459
google/gemini-2.5-flash,6510,6,7,0,7,,458,1,459
google/gemini-2.5-flash,3756,8,7,0,7,,458,1,459
google/gemini-2.5-flash,1016,9,9,1,9,,458,1,459
google/gemini-2.5-flash,9762,4,3,0,3,,458,1,459
google/gemini-2.5-flash,4239,7,7,1,7,,458,1,459
google/gemini-2.5-flash,9200,7,7,1,7,,458,1,459
google/gemini-2.5-flash,5072,5,0,0,0,,458,1,459
google/gemini-2.5-flash,4557,2,8,0,8,,458,1,459
google/gemini-2.5-flash,7708,9,9,1,9,,458,1,459
google/gemini-2.5-flash,7046,2,8,0,8,,458,1,459
google/gemini-2.5-flash,2409,0,0,1,0,,458,1,459
