model,file_number,true_label,pred_label,is_correct,raw_response,error,prompt_tokens,completion_tokens,total_tokens
google/gemma-4-31b-it,6835,9,9,1,"9,2,5,1,2,7,7,4,3,6",,3094,20,3114
google/gemma-4-31b-it,1885,2,2,1,"9,2,5,1,2,7,7,4,3,6",,3094,20,3114
google/gemma-4-31b-it,2241,5,5,1,"9,2,5,1,2,7,7,4,3,6",,3094,20,3114
google/gemma-4-31b-it,6116,1,1,1,"9,2,5,1,2,7,7,4,3,6",,3094,20,3114
google/gemma-4-31b-it,6952,2,2,1,"9,2,5,1,2,7,7,4,3,6",,3094,20,3114
google/gemma-4-31b-it,2429,7,7,1,"9,2,5,1,2,7,7,4,3,6",,3094,20,3114
google/gemma-4-31b-it,8718,7,7,1,"9,2,5,1,2,7,7,4,3,6",,3094,20,3114
google/gemma-4-31b-it,8381,4,4,1,"9,2,5,1,2,7,7,4,3,6",,3094,20,3114
google/gemma-4-31b-it,7381,3,3,1,"9,2,5,1,2,7,7,4,3,6",,3094,20,3114
google/gemma-4-31b-it,6742,6,6,1,"9,2,5,1,2,7,7,4,3,6",,3094,20,3114
google/gemma-4-31b-it,5478,3,3,1,"3,0,4,1,0,6,5,8,6,9",,3094,20,3114
google/gemma-4-31b-it,5304,0,0,1,"3,0,4,1,0,6,5,8,6,9",,3094,20,3114
google/gemma-4-31b-it,9972,4,4,1,"3,0,4,1,0,6,5,8,6,9",,3094,20,3114
google/gemma-4-31b-it,1823,1,1,1,"3,0,4,1,0,6,5,8,6,9",,3094,20,3114
google/gemma-4-31b-it,4009,0,0,1,"3,0,4,1,0,6,5,8,6,9",,3094,20,3114
google/gemma-4-31b-it,9856,6,6,1,"3,0,4,1,0,6,5,8,6,9",,3094,20,3114
google/gemma-4-31b-it,2652,5,5,1,"3,0,4,1,0,6,5,8,6,9",,3094,20,3114
google/gemma-4-31b-it,5639,8,8,1,"3,0,4,1,0,6,5,8,6,9",,3094,20,3114
google/gemma-4-31b-it,7407,8,6,0,"3,0,4,1,0,6,5,8,6,9",,3094,20,3114
google/gemma-4-31b-it,5932,9,9,1,"3,0,4,1,0,6,5,8,6,9",,3094,20,3114
