model,file_number,true_label,pred_label,is_correct,raw_response,error,prompt_tokens,completion_tokens,total_tokens
google/gemma-4-31b-it,9846,3,2,0,"2,1,2,1,5,9,7,0,7,4",,2839,20,2859
google/gemma-4-31b-it,6184,8,1,0,"2,1,2,1,5,9,7,0,7,4",,2839,20,2859
google/gemma-4-31b-it,5007,3,2,0,"2,1,2,1,5,9,7,0,7,4",,2839,20,2859
google/gemma-4-31b-it,5423,8,1,0,"2,1,2,1,5,9,7,0,7,4",,2839,20,2859
google/gemma-4-31b-it,3554,5,5,1,"2,1,2,1,5,9,7,0,7,4",,2839,20,2859
google/gemma-4-31b-it,999,9,9,1,"2,1,2,1,5,9,7,0,7,4",,2839,20,2859
google/gemma-4-31b-it,1524,7,7,1,"2,1,2,1,5,9,7,0,7,4",,2839,20,2859
google/gemma-4-31b-it,6952,2,0,0,"2,1,2,1,5,9,7,0,7,4",,2839,20,2859
google/gemma-4-31b-it,2738,6,7,0,"2,1,2,1,5,9,7,0,7,4",,2839,20,2859
google/gemma-4-31b-it,963,4,4,1,"2,1,2,1,5,9,7,0,7,4",,2839,20,2859
google/gemma-4-31b-it,1823,1,1,1,"1,3,5,0,2,1,9,7,0,9",,2839,20,2859
google/gemma-4-31b-it,8683,4,3,0,"1,3,5,0,2,1,9,7,0,9",,2839,20,2859
google/gemma-4-31b-it,8249,5,5,1,"1,3,5,0,2,1,9,7,0,9",,2839,20,2859
google/gemma-4-31b-it,6522,0,0,1,"1,3,5,0,2,1,9,7,0,9",,2839,20,2859
google/gemma-4-31b-it,7181,7,2,0,"1,3,5,0,2,1,9,7,0,9",,2839,20,2859
google/gemma-4-31b-it,1363,1,1,1,"1,3,5,0,2,1,9,7,0,9",,2839,20,2859
google/gemma-4-31b-it,7005,2,9,0,"1,3,5,0,2,1,9,7,0,9",,2839,20,2859
google/gemma-4-31b-it,2116,6,7,0,"1,3,5,0,2,1,9,7,0,9",,2839,20,2859
google/gemma-4-31b-it,7485,0,0,1,"1,3,5,0,2,1,9,7,0,9",,2839,20,2859
google/gemma-4-31b-it,4385,9,9,1,"1,3,5,0,2,1,9,7,0,9",,2839,20,2859
