model,file_number,true_label,pred_label,is_correct,raw_response,error,prompt_tokens,completion_tokens,total_tokens
google/gemini-2.0-flash-001,7690,5,0,0,"0
",,458,2,460
google/gemini-2.0-flash-001,5732,4,4,1,4,,458,1,459
google/gemini-2.0-flash-001,2547,0,7,0,"7
",,458,2,460
google/gemini-2.0-flash-001,8274,3,4,0,"4
",,458,2,460
google/gemini-2.0-flash-001,2196,6,7,0,"7
",,458,2,460
google/gemini-2.0-flash-001,8880,9,9,1,"9
",,458,2,460
google/gemini-2.0-flash-001,1363,1,1,1,"1
",,458,2,460
google/gemini-2.0-flash-001,73,8,1,0,"1
",,458,2,460
google/gemini-2.0-flash-001,3863,2,2,1,2,,458,1,459
google/gemini-2.0-flash-001,5463,7,4,0,"4
",,458,2,460
