model,file_number,true_label,pred_label,is_correct,raw_response,error,prompt_tokens,completion_tokens,total_tokens
google/gemma-4-31b-it,3981,9,9,1,"9,2,3,7,0,1,3,0,8,5",,3094,20,3114
google/gemma-4-31b-it,7005,2,2,1,"9,2,3,7,0,1,3,0,8,5",,3094,20,3114
google/gemma-4-31b-it,2348,4,3,0,"9,2,3,7,0,1,3,0,8,5",,3094,20,3114
google/gemma-4-31b-it,6088,7,7,1,"9,2,3,7,0,1,3,0,8,5",,3094,20,3114
google/gemma-4-31b-it,4252,0,0,1,"9,2,3,7,0,1,3,0,8,5",,3094,20,3114
google/gemma-4-31b-it,3994,1,1,1,"9,2,3,7,0,1,3,0,8,5",,3094,20,3114
google/gemma-4-31b-it,1849,3,3,1,"9,2,3,7,0,1,3,0,8,5",,3094,20,3114
google/gemma-4-31b-it,4455,0,0,1,"9,2,3,7,0,1,3,0,8,5",,3094,20,3114
google/gemma-4-31b-it,1495,9,8,0,"9,2,3,7,0,1,3,0,8,5",,3094,20,3114
google/gemma-4-31b-it,638,5,5,1,"9,2,3,7,0,1,3,0,8,5",,3094,20,3114
google/gemma-4-31b-it,3749,2,,0,,http_400,0,0,0
google/gemma-4-31b-it,9268,6,,0,,http_400,0,0,0
google/gemma-4-31b-it,5551,3,,0,,http_400,0,0,0
google/gemma-4-31b-it,4304,6,,0,,http_400,0,0,0
google/gemma-4-31b-it,8541,8,,0,,http_400,0,0,0
google/gemma-4-31b-it,9055,1,,0,,http_400,0,0,0
google/gemma-4-31b-it,7690,5,,0,,http_400,0,0,0
google/gemma-4-31b-it,3308,7,,0,,http_400,0,0,0
google/gemma-4-31b-it,753,4,,0,,http_400,0,0,0
google/gemma-4-31b-it,5810,8,,0,,http_400,0,0,0
