model,file_number,true_label,pred_label,is_correct,raw_response,error,prompt_tokens,completion_tokens,total_tokens
google/gemini-2.0-flash-001,295,8,8,1,8,,3081,1,3082
google/gemini-2.0-flash-001,236,6,6,1,6,,3081,1,3082
google/gemini-2.0-flash-001,353,0,0,1,0,,3081,1,3082
google/gemini-2.0-flash-001,198,9,9,1,9,,3081,1,3082
google/gemini-2.0-flash-001,141,4,4,1,4,,3081,1,3082
google/gemini-2.0-flash-001,406,8,8,1,8,,3081,1,3082
google/gemini-2.0-flash-001,391,7,7,1,7,,3081,1,3082
google/gemini-2.0-flash-001,589,0,0,1,0,,3081,1,3082
google/gemini-2.0-flash-001,18,5,5,1,5,,3081,1,3082
google/gemini-2.0-flash-001,238,9,9,1,9,,3081,1,3082
google/gemini-2.0-flash-001,139,2,2,1,2,,3081,1,3082
google/gemini-2.0-flash-001,291,3,4,0,4,,3081,1,3082
google/gemini-2.0-flash-001,477,1,1,1,1,,3081,1,3082
google/gemini-2.0-flash-001,53,7,7,1,7,,3081,1,3082
google/gemini-2.0-flash-001,526,2,2,1,2,,3081,1,3082
google/gemini-2.0-flash-001,229,5,5,1,5,,3081,1,3082
google/gemini-2.0-flash-001,359,1,1,1,1,,3081,1,3082
google/gemini-2.0-flash-001,34,3,7,0,7,,3081,1,3082
google/gemini-2.0-flash-001,259,4,4,1,4,,3081,1,3082
google/gemini-2.0-flash-001,75,6,6,1,6,,3081,1,3082
