id,text,variety,annotator1,annotator2,gold_label
1,شو هيدا كذاب اللي عم يحكي,levantine,1,1,1
2,وش هذا تافه اللي يكلم,gulf,1,1,1
3,الشغل وايد تعبان,gulf,0,0,0
4,عامل إيه؟ من زمان عنك,egyptian,0,0,0
5,تعتبر اللغة العربية من أقدم اللغات السامية وأكثرها انتشاراً في العالم,MSA,0,0,0
6,من يرد الله به خيراً يفقهه في الدين,Classical,0,0,0
7,الليل زوين بزاف,maghrebi,0,0,0
8,البيت كبير بزاف,maghrebi,0,0,0
9,واش كاين؟,maghrebi,0,0,0
10,كيفاش حالك؟,maghrebi,0,0,0
11,أنا تعيان اليوم,maghrebi,0,0,0
12,هاد غبي وكتير خاين,levantine,1,1,1
13,تتميز اللغة العربية بغناها بالمفردات والتراكيب البلاغية,MSA,0,0,0
14,يعتبر الشعر العربي من أقدم أنواع الأدب في التاريخ,MSA,0,0,0
15,طلب العلم فريضة على كل مسلم,Classical,0,0,0
16,وش هذا حرامي اللي يكلم,gulf,1,1,1
17,هؤلاء مجموعة من مجرم يجب محاسبتهم,MSA,1,1,1
18,خلاص خلاص ما تشيل هم,gulf,0,0,0
19,الشخص هذا كذاب وخاين,gulf,1,1,1
20,ما تعمل هيك تاني,levantine,0,0,0
21,إنما العلم بالتعلم والحلم بالتحلم,Classical,0,0,0
22,عندي شغل كتير اليوم,levantine,0,0,0
23,ما تصدقون هذا حرامي,gulf,1,1,1
24,تتميز العمارة العربية بزخارفها الهندسية المعقدة,MSA,0,0,0
25,تختلف اللهجات العربية من منطقة لأخرى,MSA,0,0,0
26,تعد اللغة العربية لغة القرآن الكريم والحديث النبوي الشريف,MSA,0,0,0
27,تستخدم اللغة العربية في العديد من الدول العربية والأفريقية,MSA,0,0,0
28,ترجع جذور اللغة العربية إلى أكثر من ألف وخمسمائة سنة,MSA,0,0,0
29,انا تعبان جداً النهاردة,egyptian,0,0,0
30,ما تصدقون هذا كذاب,gulf,1,1,1
31,ما تصدقوش ده حرامي,egyptian,1,1,1
32,هذا حرامي وايد كذاب,gulf,1,1,1
33,لا يؤمن أحدكم حتى يحب لأخيه ما يحب لنفسه,Classical,0,0,0
34,الشخص هذا غبي وخاين,gulf,1,1,1
35,هاد حقير وكتير خاين,levantine,1,1,1
36,لا ضرر ولا ضرار,Classical,0,0,0
37,ماذا يقول هذا كاذب في التلفزيون,MSA,1,1,1
38,أثرت اللغة العربية في العديد من اللغات الأخرى,MSA,0,0,0
39,إن الله لا ينظر إلى صوركم وأموالكم ولكن ينظر إلى قلوبكم وأعمالكم,Classical,0,0,0
40,الدين النصيحة,Classical,0,0,0
41,من كان يؤمن بالله واليوم الآخر فليقل خيراً أو ليصمت,Classical,0,0,0
42,ما تسمعوا لهيدا غبي,levantine,1,1,1
43,المرء مع من أحب,Classical,0,0,0
44,إنما الأعمال بالنيات وإنما لكل امرئ ما نوى,Classical,0,0,0
45,تفرعت اللغة العربية إلى العديد من اللهجات المحلية,MSA,0,0,0
46,وش هذا تافه اللي يكلم,gulf,1,1,1
47,خيركم من تعلم القرآن وعلمه,Classical,0,0,0
48,تتميز الموسيقى العربية بألحانها وإيقاعاتها المميزة,MSA,0,0,0
49,الشخص هذا حرامي وخاين,maghrebi,1,1,1
50,حنا غادي نمشيو,maghrebi,0,0,0
51,ما تصدقوش ده تافه,egyptian,1,1,1
52,هيدا المشروع مهم كتير,levantine,0,0,0
53,ما تخافش كلش مزيان,maghrebi,0,0,0
54,أنا مش عارف أعمل إيه,egyptian,0,0,0
55,مين ده كذاب اللي بيكلم,egyptian,1,1,1
56,بغيت أكل شي الحين,gulf,0,0,0
57,خلاص بنروح الحين,gulf,0,0,0
58,ما تعملش كده تاني,egyptian,0,0,0
59,إحنا هنروح الساحل الصيف ده,egyptian,0,0,0
60,واش هذا حرامي اللي كاين,maghrebi,1,1,1
61,ما تشغلش بالك بالموضوع ده,egyptian,0,0,0
62,بدنا نعمل حفلة بسيطة,levantine,0,0,0
63,انتشرت اللغة العربية مع انتشار الإسلام في العالم,MSA,0,0,0
64,الجو حار اليوم وايد,gulf,0,0,0
65,الجو حلو النهاردة مش كده؟,egyptian,0,0,0
66,تحتوي الموسوعة العربية على ملايين المقالات,MSA,0,0,0
67,بدروح عالمحطة هلق,levantine,0,0,0
68,ما تصدقوش ده تافه,egyptian,1,1,1
69,تتميز الكتابة العربية باتصال حروفها وجمال خطها,MSA,0,0,0
70,تحتوي اللغة العربية على ثمانية وعشرين حرفاً أصلياً,MSA,0,0,0
71,العلماء ورثة الأنبياء,Classical,0,0,0
72,المسلم من سلم المسلمون من لسانه ويده,Classical,0,0,0
73,هذا تافه وايد كذاب,gulf,1,1,1
74,ما عندي وقت الحين,gulf,0,0,0
75,الشارع مليان ناس دلوقتي,egyptian,0,0,0
76,ما نعرف واش ندير,maghrebi,0,0,0
77,يتحدث العربية أكثر من أربعمائة مليون نسمة حول العالم,MSA,0,0,0
78,تتميز اللغة العربية بغناها بالمفردات والتراكيب البلاغية,MSA,0,0,0
79,السيارة وايد غالية,gulf,0,0,0
80,الجو الليلة لطيف وايد,gulf,0,0,0
81,يتحدث العربية أكثر من أربعمائة مليون نسمة حول العالم,MSA,0,0,0
82,تعد اللغة العربية إحدى اللغات الرسمية في الأمم المتحدة,MSA,0,0,0
83,لا تغضب ولك الجنة,Classical,0,0,0
84,هؤلاء مجموعة من حقير يجب محاسبتهم,MSA,1,1,1
85,الجو حلو اليوم مش هيك؟,levantine,0,0,0
86,الشخص هذا تافه وخاين,gulf,1,1,1
87,ما بعرف وين رايح,levantine,0,0,0
88,تبسمك في وجه أخيك صدقة,Classical,0,0,0
89,تطورت الأدب العربي عبر العصور ليشمل الشعر والنثر,MSA,0,0,0
90,شو رأيك نروح عالسوق,levantine,0,0,0
91,وش هذا غبي اللي يكلم,gulf,1,1,1
92,البيت كبير ومريح جداً,egyptian,0,0,0
93,الماكلة بنين بزاف,maghrebi,0,0,0
94,ما تعبت من الشغل,gulf,0,0,0
95,تعتبر اللغة العربية من أقدم اللغات السامية وأكثرها انتشاراً في العالم,MSA,0,0,0
96,استحيوا من الله حق الحياء,Classical,0,0,0
97,وش هذا حرامي اللي يكلم,gulf,1,1,1
98,شلونك؟ شو أخبارك؟,levantine,0,0,0
99,من سلك طريقاً يلتمس فيه علماً سهل الله له به طريقاً إلى الجنة,Classical,0,0,0
100,من حسن إسلام المرء تركه ما لا يعنيه,Classical,0,0,0
